epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,22439.3,0.94414,0.81009,1.18712,0.87734,0.61538,0.73988,0.56005,1.04555,0.9017,1.19725,0.00101,0.00101,0.00101
62,22599.7,0.86807,0.83066,1.12718,0.97597,0.61538,0.76354,0.57822,0.91163,0.75394,1.10511,0.0009935,0.0009935,0.0009935
63,22760.5,1.01269,0.85832,1.30388,0.8988,0.68397,0.77503,0.57291,0.86036,0.82951,1.06865,0.000977,0.000977,0.000977
64,22929.2,0.85305,0.82673,1.13685,0.94087,0.61538,0.72685,0.53384,0.91924,0.91133,1.09624,0.0009605,0.0009605,0.0009605
65,23088.7,0.88859,0.81953,1.21195,0.79571,0.60053,0.64357,0.5087,1.03433,1.0376,1.15424,0.000944,0.000944,0.000944
66,23248,1.05661,1.1894,1.19015,0.7624,0.53846,0.61668,0.50445,1.02786,1.05821,1.16372,0.0009275,0.0009275,0.0009275
67,23407.5,0.77897,0.72764,1.02979,0.84531,0.46154,0.59221,0.48116,0.99809,0.97473,1.20594,0.000911,0.000911,0.000911
68,23566.8,0.85876,0.89487,1.18135,0.81661,0.68564,0.72515,0.53227,0.90476,1.02154,1.15213,0.0008945,0.0008945,0.0008945
69,23737.6,0.6961,0.74464,1.04219,0.81559,0.69231,0.74138,0.54664,0.85805,1.06262,1.10921,0.000878,0.000878,0.000878
70,23901.4,0.78027,0.73076,1.0676,0.7986,0.69231,0.74437,0.55151,0.86353,0.95493,1.13218,0.0008615,0.0008615,0.0008615
71,24064.1,0.8745,0.90467,1.07524,0.79622,0.61538,0.71658,0.49586,0.98968,0.96759,1.21977,0.000845,0.000845,0.000845
72,24230.4,0.90657,0.812,1.06702,0.79959,0.61396,0.7185,0.49765,0.98441,0.9831,1.2053,0.0008285,0.0008285,0.0008285
